,gen_loss,dis_loss,feature_loss,dis_acc
98,0.94269985,0.267988222,13.08018303,0.5
99,0.808450401,0.271848327,14.85171509,0.5
100,0.672237337,0.273970712,12.16471958,0.5
101,0.685029984,0.267983412,12.34395218,0.5
102,0.80915302,0.265728729,15.58357048,0.5
103,0.7435987,0.265840531,14.41728592,0.5
104,0.709364951,0.261710868,13.57638359,0.5
105,0.702379227,0.276993347,17.66905022,0.5
106,0.739043891,0.263703437,15.50111389,0.5
107,0.692446291,0.268570311,16.77040863,0.5
108,0.664755344,0.267135821,16.64853668,0.5
109,0.863227308,0.263847155,16.46529007,0.5
110,0.766186595,0.262747553,17.35687447,0.5
111,0.73218435,0.269472344,10.96395397,0.5
112,0.725844681,0.276158186,23.46313477,0.5
113,0.698850095,0.271440448,11.92273712,0.5
114,0.685970902,0.264671271,14.50855541,0.5
115,0.699601948,0.264599141,16.06369209,0.5
116,0.71712178,0.262861901,10.24187565,0.5
117,0.665117383,0.267566215,14.79154778,0.5
118,0.865601003,0.262924249,15.28234005,0.5
119,0.824183285,0.257770965,16.38413811,0.5
120,0.781070113,0.271531235,16.78191185,0.5
121,0.848086536,0.261610913,15.05477715,0.5
122,0.766508639,0.257657092,9.386254311,0.5
123,0.767464995,0.258631251,15.95367432,0.5
124,0.782114446,0.260217187,13.71382523,0.5
125,0.849033892,0.256517407,14.20415401,0.5
126,0.7216084,0.259997013,13.61488533,0.5
127,0.815328658,0.259307702,15.31387997,0.5
128,0.732068896,0.26107174,14.69503593,0.5
129,0.656871438,0.269973356,14.69560623,0.5
130,0.856754422,0.263784708,15.53958607,0.5
131,0.853046119,0.25950613,15.56609917,0.5
132,0.898516893,0.260504727,13.5106554,0.5
133,0.822056115,0.259912831,14.1362915,0.5
134,0.711718857,0.258793632,12.0642252,0.5
135,0.7803002,0.256424103,15.69141006,0.5
136,0.808516264,0.256613888,12.90659237,0.5
137,0.81148237,0.256025317,12.40883732,0.5
138,0.849903286,0.255223672,16.32464218,0.5
139,0.768172264,0.259174908,15.21579361,0.5
140,0.786091387,0.259053613,15.7485218,0.5
141,0.842420042,0.258409569,13.10474014,0.5
142,0.723962605,0.258052601,14.24737072,0.5
143,0.806314647,0.256649805,12.03415298,0.5
144,0.737312734,0.259278724,16.45243645,0.5
145,0.821997404,0.256063186,17.24626923,0.5
146,0.758900285,0.257038501,14.27154541,0.5
147,0.733532906,0.25572289,10.35502243,0.5
148,0.757915437,0.260613533,13.25594234,0.5
149,0.828567624,0.257796638,13.94271374,0.5
150,0.755172551,0.257592437,18.22134781,0.5
151,0.836076975,0.256510878,12.91600513,0.5
152,0.810502529,0.26204051,16.2990818,0.5
153,0.78519541,0.25745599,12.7040987,0.5
154,0.863284826,0.257097142,10.3145752,0.5
155,0.789424717,0.256955497,23.30994034,0.5
156,0.913515627,0.259735873,15.87888241,0.5
157,0.854310393,0.255688584,16.38512421,0.5
158,0.855888307,0.256093217,11.48902798,0.5
159,0.911531687,0.2549313,14.91920662,0.5
160,0.745742083,0.255983048,9.423171997,0.5
161,0.832965732,0.256115393,10.18639088,0.5
162,0.868781567,0.260888405,17.32935905,0.5
163,0.830927074,0.253890485,19.22594452,0.5
164,0.795571566,0.257330493,16.94844437,0.5
165,0.897871554,0.257015773,15.88489819,0.5
166,0.975962341,0.255805888,16.04281998,0.5
167,1.000562429,0.253253121,15.42677689,0.5
168,0.921508074,0.254155013,13.23398209,0.5
169,0.857756078,0.255957923,14.52028275,0.5
170,0.801371813,0.262931154,11.90248966,0.5
171,0.950391471,0.260121287,14.79846859,0.5
172,0.785866499,0.259211067,12.51433277,0.5
173,0.964771807,0.256314156,13.76346874,0.5
174,0.818617821,0.258390434,11.2462225,0.5
175,0.824792147,0.255597371,18.94333839,0.5
176,0.856961846,0.256429052,15.36552906,0.5
177,0.827902138,0.257734307,11.2583313,0.5
178,0.956900597,0.255606357,15.28569221,0.5
179,0.814014256,0.253481307,13.87612915,0.5
180,0.882465899,0.254332964,14.57775688,0.5
181,0.790354013,0.257334311,13.56347275,0.5
182,0.703412652,0.25849065,10.71932125,0.5
183,0.902757406,0.255358437,13.90592575,0.5
184,0.922772706,0.254833514,14.67790031,0.5
185,0.890557706,0.253897425,13.96021652,0.5
186,0.871357679,0.253547865,13.36070347,0.5
187,0.688166678,0.255746344,19.21666908,0.5
188,0.834526837,0.256362183,16.28583527,0.5
189,0.768342555,0.257237707,14.19002533,0.5
190,0.851695776,0.254289926,14.39067078,0.5
191,0.747932494,0.258798071,12.03112125,0.5
192,0.867132902,0.255512783,12.07918739,0.5
193,0.779595792,0.259667045,17.59188461,0.5
194,0.860410571,0.25440103,12.30577755,0.5
195,0.753741503,0.253715624,17.63092804,0.5
196,0.89061898,0.255110893,15.71978951,0.5
197,0.713829577,0.261205193,13.06524277,0.5
198,0.842161238,0.25903698,15.38759995,0.5
199,0.860326171,0.25619158,12.98474789,0.5
200,0.795465529,0.255546157,12.65746021,0.5
201,0.817671061,0.255167832,13.74263382,0.5
202,0.825344265,0.254363079,15.24459839,0.5
203,0.955895543,0.254564805,13.09707642,0.5
204,0.805172265,0.254280827,17.35287666,0.5
205,0.819504321,0.255712949,14.59733391,0.5
206,0.756967247,0.254650508,10.04379654,0.5
207,0.708008528,0.258932322,16.13037109,0.5
208,0.80254817,0.255702322,13.6760006,0.5
209,0.869895101,0.256551356,14.01803493,0.5
210,0.786366224,0.254695664,14.61628246,0.5
211,0.857782304,0.253744301,14.28588009,0.5
212,0.797208071,0.254921283,13.9245348,0.5
213,0.879892051,0.256261257,14.29063225,0.5
214,0.861402154,0.257348482,13.23516846,0.5
215,0.816029608,0.253893251,12.59398937,0.5
216,0.808152735,0.253716783,8.401572227,0.5
217,0.928043604,0.255291375,18.8064537,0.5
218,0.806061327,0.255792379,14.45182323,0.5
219,0.889148176,0.254576772,11.94757462,0.5
220,0.90945667,0.25591609,13.14283752,0.5
221,0.850851178,0.255630492,15.05991268,0.5
222,0.874111176,0.25540399,14.65214348,0.5
223,0.734548271,0.256856089,14.79681015,0.5
224,0.806306601,0.255124313,20.56050301,0.5
225,0.782227814,0.25647318,13.4450407,0.5
226,0.801092982,0.254253938,11.0668478,0.5
227,0.821617901,0.256186042,14.39083862,0.5
228,0.887356579,0.255173822,13.3908577,0.5
229,0.811178982,0.254385035,11.37212372,0.5
230,0.850391805,0.255849969,13.93239117,0.5
231,0.733535588,0.257556164,11.33715439,0.5
232,0.821765721,0.254784298,13.55612183,0.5
233,0.757138491,0.254868545,9.917280197,0.5
234,0.85255307,0.25442716,11.87808418,0.5
235,0.929588616,0.253834092,13.04548264,0.5
236,0.864467382,0.254397109,11.17661667,0.5
237,0.867861092,0.254913705,14.36942005,0.5
238,0.761284113,0.256395381,9.866564751,0.5
239,0.873859406,0.255260963,10.68650627,0.5
240,0.884108186,0.257170176,14.48682117,0.5
241,0.957100868,0.255375705,10.9923296,0.5
242,0.817647815,0.253251362,18.06151962,0.5
243,0.836323857,0.253096019,15.58996201,0.5
244,0.845429659,0.253747743,13.7476511,0.5
