,accuracy,val_accuracy,loss,val_loss,psnr,val_psnr,ssim,val_ssim
25,0.27137356996536255,0.2999393939971924,8.398600578308105,6.733580589294434,17.846132278442383,18.793498992919922,0.15583482384681702,0.14830629527568817
26,0.2672704756259918,0.30022141337394714,8.37514591217041,6.7314229011535645,17.85820198059082,18.79427719116211,0.15602248907089233,0.14828254282474518
27,0.26294875144958496,0.2931841313838959,8.352472305297852,6.728635311126709,17.869897842407227,18.796131134033203,0.15619899332523346,0.14821061491966248
28,0.25830256938934326,0.2902110815048218,8.330626487731934,6.730656623840332,17.881187438964844,18.794851303100586,0.15637469291687012,0.1480271816253662
29,0.25327667593955994,0.286355584859848,8.309556007385254,6.729762554168701,17.892187118530273,18.794864654541016,0.1565406322479248,0.14858326315879822
30,0.24805620312690735,0.282217800617218,8.288373947143555,6.73061990737915,17.90324592590332,18.794113159179688,0.15670444071292877,0.14837905764579773
31,0.24254469573497772,0.27419114112854004,8.26779842376709,6.73822546005249,17.91414451599121,18.78838348388672,0.15686917304992676,0.14826995134353638
32,0.23676149547100067,0.26934731006622314,8.247708320617676,6.734341621398926,17.92472267150879,18.791032791137695,0.15702788531780243,0.14853818714618683
33,0.23065000772476196,0.2648257315158844,8.226696968078613,6.740226745605469,17.935928344726562,18.7864990234375,0.1571882963180542,0.148445725440979
34,0.22432520985603333,0.2536884844303131,8.20660400390625,6.747501850128174,17.94666862487793,18.781431198120117,0.15734487771987915,0.14834612607955933
35,0.21784277260303497,0.24975726008415222,8.187092781066895,6.7545623779296875,17.957075119018555,18.77646255493164,0.1574971228837967,0.1483001857995987
36,0.2111395299434662,0.22946399450302124,8.165782928466797,6.755568981170654,17.96870994567871,18.77530860900879,0.1576625406742096,0.1481642872095108
37,0.2041272521018982,0.22718092799186707,8.146801948547363,6.755955219268799,17.978824615478516,18.775218963623047,0.15781092643737793,0.14802934229373932
38,0.19720925390720367,0.21985076367855072,8.125142097473145,6.7586894035339355,17.990673065185547,18.773279190063477,0.1579803228378296,0.14814601838588715
39,0.19017499685287476,0.21387287974357605,8.105412483215332,6.774814128875732,18.001419067382812,18.76127052307129,0.15813860297203064,0.14784890413284302
40,0.1828550547361374,0.19899217784404755,8.08472728729248,6.778428554534912,18.01266098022461,18.759082794189453,0.15829314291477203,0.14826180040836334
41,0.17577572166919708,0.2002096027135849,8.063298225402832,6.784832954406738,18.024490356445312,18.755462646484375,0.15846307575702667,0.14806102216243744
42,0.16864457726478577,0.18946607410907745,8.043701171875,6.791930198669434,18.035144805908203,18.7502498626709,0.15862061083316803,0.14820194244384766
43,0.16165676712989807,0.1792159229516983,8.021952629089355,6.79984712600708,18.047191619873047,18.74558448791504,0.15878690779209137,0.14821429550647736
44,0.15472425520420074,0.17013169825077057,8.000349998474121,6.808738708496094,18.059215545654297,18.738840103149414,0.15895402431488037,0.14799199998378754
45,0.1480531245470047,0.15472091734409332,7.979877471923828,6.816853046417236,18.070476531982422,18.73422622680664,0.15911942720413208,0.1479346603155136
46,0.1415816992521286,0.15202362835407257,7.959924221038818,6.823480129241943,18.081462860107422,18.729650497436523,0.15927597880363464,0.1482844352722168
47,0.1352972537279129,0.1456545740365982,7.936396598815918,6.834024429321289,18.094818115234375,18.722841262817383,0.15944761037826538,0.14799590408802032
